Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Ø Bodenkontaktzeit,Normalized Power® (NP®),Training Stress Score®,Ø Leistung,Max. Leistung,Grit,Flow,Schritte,Wiederholungen insgesamt,Sätze insgesamt,Body Battery Abnahme,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
strength_training,2026-06-29 08:30:53,false,Krafttrai​ning,"0,00",302,00:44:18,115,142,"2,2"
mountain_biking,2026-06-27 10:51:40,false,Nassereith Mountainbiken,"24,20",670,01:33:14,120,158,"3,2"
strength_training,2026-06-26 08:31:07,false,Krafttrai​ning,"0,00",298,00:41:00,118,157,"2,5"
treadmill_running,2026-06-25 08:31:41,false,Laufbandtraining,"8,00",448,01:00:47,119,140,"2,6"
strength_training,2026-06-23 08:39:25,false,Krafttrai​ning,"0,00",266,00:46:18,106,140,"2,0"
walking,2026-06-20 08:00:31,false,Nassereith Gehen,"8,93",609,01:33:03,107,140,"2,7"
strength_training,2026-06-19 09:16:59,false,Krafttrai​ning,"0,00",227,00:41:45,105,123,"1,4"
strength_training,2026-06-18 07:58:33,false,Krafttrai​ning,"0,00",285,00:49:39,106,150,"2,0"
treadmill_running,2026-06-17 08:48:15,false,Laufbandtraining,"5,00",295,00:35:04,126,150,"2,7"
strength_training,2026-06-16 08:03:12,false,Krafttrai​ning,"0,00",346,00:57:49,109,144,"2,1"
walking,2026-06-13 07:00:22,false,Nassereith Gehen,"11,73",783,02:04:10,104,133,"2,9"
treadmill_running,2026-06-12 10:07:21,false,Laufbandtraining,"4,00",250,00:29:12,123,134,"2,5"
strength_training,2026-06-12 09:22:19,false,Krafttrai​ning,"0,00",210,00:34:52,107,141,"1,8"
strength_training,2026-06-11 08:00:06,false,Krafttrai​ning,"0,00",252,00:41:51,107,163,"2,0"
strength_training,2026-06-10 08:15:57,false,Krafttrai​ning,"0,00",271,00:43:48,110,139,"2,0"
strength_training,2026-06-08 08:56:17,false,Krafttrai​ning,"0,00",215,00:39:11,102,132,"1,3"
walking,2026-06-07 08:06:55,false,Nassereith Gehen,"10,09",684,01:46:36,106,135,"2,7"
strength_training,2026-06-06 08:56:19,false,Krafttrai​ning,"0,00",292,00:44:58,112,150,"2,0"
strength_training,2026-06-04 14:46:17,false,Krafttrai​ning,"0,00",183,00:36:28,99,123,"0,7"
treadmill_running,2026-06-03 07:45:03,false,Laufbandtraining,"8,00",438,00:58:50,122,144,"2,9"
strength_training,2026-06-02 13:09:44,false,Krafttrai​ning,"0,00",189,00:36:29,101,122,"0,9"
strength_training,2026-06-01 07:29:21,false,Krafttrai​ning,"0,00",260,00:52:25,100,148,"1,6"
walking,2026-05-31 06:40:55,false,Nassereith Gehen,"8,86",587,01:32:20,108,134,"2,5"
strength_training,2026-05-29 07:28:51,false,Krafttrai​ning,"0,00",219,00:42:23,101,135,"1,3"
